Column1,Emotional,Knowledge,Escape,Another World,Socialize,Distinguish,Entertained,Original Expierence,Physical Skill,Physical Attractiveness,Physical Proximity,Uninhibited Behavior,Relive Past,Overall Satisfaction,Recommend,Return
1,4,11,8,4,4,64,1,3,10,73,35,54,37,0,1,1
2,10,30,10,12,21,18,2,11,13,21,31,25,29,0,0,1
3,27,58,35,34,24,42,5,33,32,26,43,41,41,0,1,0
4,67,38,66,67,68,12,45,65,67,15,28,25,26,0,0,1
5,32,3,21,23,23,3,87,28,18,3,3,4,6,1,1,5
6,,,,,,,,,,,,,,8,8,7
7,,,,,,,,,,,,,,42,42,13
8,,,,,,,,,,,,,,62,62,31
9,,,,,,,,,,,,,,25,25,32
10,,,,,,,,,,,,,,2,32,49
